games,learning_rate,discount,average_moves
1000,0.04,0.16,95.6
1000,0.04,0.18,95.51
1000,0.04,0.2,95.24
1000,0.04,0.22,95.45
1000,0.04,0.24,95.48
1000,0.04,0.26,95.22
1000,0.04,0.28,95.34
1000,0.04,0.3,95.33
1000,0.04,0.32,95.66
1000,0.04,0.34,95.2
1000,0.04,0.36,95.36
1000,0.04,0.38,95.45
1000,0.04,0.4,95.49
1000,0.04,0.42,95.47
1000,0.04,0.44,95.46
1000,0.04,0.46,95.77
1000,0.04,0.48,95.56
1000,0.04,0.5,95.44
1000,0.04,0.52,95.32
1000,0.04,0.54,95.2
1000,0.04,0.56,95.61
1000,0.04,0.58,95.28
1000,0.04,0.6,95.47
1000,0.04,0.62,95.25
1000,0.04,0.64,95.45
1000,0.04,0.66,95.43
1000,0.04,0.68,95.45
1000,0.04,0.7,95.37
1000,0.04,0.72,95.37
1000,0.04,0.74,95.17
1000,0.04,0.76,95.51
1000,0.04,0.78,95.21
1000,0.04,0.8,95.21
1000,0.04,0.82,95.46
1000,0.04,0.84,95.43
1000,0.04,0.86,95.36
1000,0.04,0.88,95.23
1000,0.04,0.9,95.42
1000,0.04,0.92,95.41
1000,0.04,0.94,95.52
1000,0.04,0.96,95.22
1000,0.04,0.98,95.27
1000,0.04,1.0,95.35
1000,0.04,1.02,95.24
1000,0.04,1.04,95.18
1000,0.04,1.06,95.45
1000,0.04,1.08,95.44
1000,0.06,0,95.3
1000,0.06,0.02,95.32
1000,0.06,0.04,95.46
1000,0.06,0.06,95.4
1000,0.06,0.08,95.49
1000,0.06,0.1,95.62
1000,0.06,0.12,95.26
1000,0.06,0.14,95.52
1000,0.06,0.16,95.49
1000,0.06,0.18,95.52
1000,0.06,0.2,95.58
1000,0.06,0.22,95.46
1000,0.06,0.24,95.22
1000,0.06,0.26,95.36
1000,0.06,0.28,95.43
1000,0.06,0.3,95.31
1000,0.06,0.32,95.31
1000,0.06,0.34,95.73
1000,0.06,0.36,95.69
1000,0.06,0.38,95.34
1000,0.06,0.4,95.32
1000,0.06,0.42,94.98
1000,0.06,0.44,95.33
1000,0.06,0.46,95.51
1000,0.06,0.48,95.25
1000,0.06,0.5,95.51
1000,0.06,0.52,95.75
1000,0.06,0.54,95.37
1000,0.06,0.56,95.61
1000,0.06,0.58,95.3
1000,0.06,0.6,95.35
1000,0.06,0.62,95.57
1000,0.06,0.64,95.0
1000,0.06,0.66,95.46
1000,0.06,0.68,95.53
1000,0.06,0.7,95.51
1000,0.06,0.72,95.34
1000,0.06,0.74,95.54
1000,0.06,0.76,95.45
1000,0.06,0.78,95.26
1000,0.06,0.8,95.35
1000,0.06,0.82,95.52
1000,0.06,0.84,95.29
1000,0.06,0.86,95.53
1000,0.06,0.88,95.51
1000,0.06,0.9,95.64
1000,0.06,0.92,95.39
1000,0.06,0.94,95.25
1000,0.06,0.96,95.18
1000,0.06,0.98,95.65
1000,0.06,1.0,95.37
1000,0.06,1.02,95.43
1000,0.06,1.04,95.55
1000,0.06,1.06,95.12
1000,0.06,1.08,95.36
1000,0.08,0,95.32
1000,0.08,0.02,95.5
1000,0.08,0.04,95.17
1000,0.08,0.06,95.55
1000,0.08,0.08,95.23
1000,0.08,0.1,95.35
1000,0.08,0.12,95.51
